concept,definition,labels,sources
Modo Supervisor,Modo de operación de una CPU que permite el acceso a todas las instrucciones y recursos del sistema.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Modo Usuario,Modo de operación de una CPU que restringe el acceso a instrucciones y recursos críticos del sistema.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Controlador DMA,Controla el acceso directo a la memoria de un dispositivo periférico sin intervención de la CPU.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Multiprogramación,Técnica que permite a varias tareas compartir el tiempo de procesador utilizando la memoria y otros recursos.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Multitarea,Extensión de la multiprogramación donde se ejecutan varias tareas al mismo tiempo.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Paridad,Técnica utilizada para la detección de errores en el almacenamiento de datos y la transmisión.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Controlador de Interrupción,"Hardware que maneja las interrupciones del sistema, permitiendo a la CPU responder a diferentes eventos.",Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Arquitectura SIMD,"Single Instruction, Multiple Data; permite que una instrucción opere en múltiples datos simultáneamente.",Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Hazarding,Situación que impide que la siguiente instrucción en la línea se ejecute en el siguiente ciclo de reloj.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Multithreading,Técnica donde múltiples threads (hilos) ejecutan instrucciones de forma concurrente en una única CPU.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Arquitectura MIMD,"Multiple Instruction, Multiple Data; múltiples procesadores operan independientemente en diferentes datos.",Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Controlador de Cache,"Componente que gestiona la memoria caché de un procesador, mejorando la eficiencia del acceso a datos.",Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Bus de Sistema,"Canal de comunicación que conecta todos los componentes principales de una computadora, como la CPU, la memoria y los dispositivos de entrada/salida.",Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Controlador de Dispositivos,Software o hardware que permite al sistema operativo interactuar con un componente hardware específico.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Ciclo de Máquina,Proceso que realiza la CPU desde que obtiene una instrucción hasta que la ejecuta.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Controlador de Entrada/Salida,Componente que gestiona las operaciones de entrada/salida entre la CPU y los dispositivos periféricos.,Componentes Básicos y Microarquitectura,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Superescalar,Tipo de microarquitectura que permite que se ejecuten múltiples instrucciones durante un solo ciclo de reloj.,Componentes Básicos y Microarquitectura,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Punto Flotante,Representación binaria que permite la representación de números reales en computadoras y la ejecución de operaciones aritméticas con ellos.,Componentes Básicos y Microarquitectura,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Procesamiento Paralelo,Uso simultáneo de múltiples recursos computacionales para resolver un problema más rápidamente.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Arquitectura Multiprocesador,Sistema con dos o más procesadores que comparten la misma memoria y están conectados mediante un bus interconector.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Arquitectura Multicore,"Procesador con múltiples núcleos en el mismo chip, permitiendo la ejecución de múltiples threads simultáneamente.",Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Procesamiento Distribuido,Uso de múltiples computadoras conectadas en red para trabajar juntas y resolver un problema.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Cluster,Grupo de computadoras que trabajan juntas y se ven como una única entidad para mejorar el rendimiento y/o la disponibilidad.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Memoria Compartida,Modelo donde múltiples procesadores acceden a una única memoria global.,Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Memoria Distribuida,Cada procesador tiene su propia memoria local. Los procesadores se comunican mediante pasajes de mensajes.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Pipelining,Técnica donde varias instrucciones se solapan en ejecución. Cada instrucción se divide en etapas y cada etapa es manejada por una unidad diferente.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Hyperthreading,"Tecnología que permite a un único núcleo físico de procesador actuar como dos núcleos lógicos, mejorando la utilización de recursos del procesador.",Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Computación en la Nube,"Entrega de servicios informáticos a través de Internet, que permite un acceso flexible a recursos y escalabilidad.",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Granularidad,"Tamaño o extensión de una tarea en sistemas paralelos. Puede ser gruesa (tareas grandes, menos interacción) o fina (tareas pequeñas, más interacción).",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Arquitectura NUMA,"Non Uniform Memory Access: Sistema multiprocesador donde cada procesador tiene acceso a una memoria local y remota, siendo el acceso local más rápido.",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Computación Cuántica,"Modelo de computación que utiliza qubits en lugar de bits, permitiendo la superposición y entrelazamiento para operaciones más avanzadas.",Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
RAID,Conjunto Redundante de Discos Independientes: Utiliza múltiples discos y tecnologías para mejorar el rendimiento y/o redundancia de los sistemas de almacenamiento.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Arquitectura Orientada a Servicios,Diseño de software basado en servicios interconectados. Los servicios comunican entre sí pasando datos o coordinando una actividad.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Arquitectura de Red,"Diseño y estructura de una red informática, incluyendo topologías, protocolos y estrategias de implementación.",Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Vectorización,Técnica de procesamiento paralelo que implica la ejecución simultánea de una operación en múltiples datos o elementos.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Grid Computing,Uso de múltiples computadoras conectadas en red para trabajar juntas como un virtual supercomputador y resolver problemas de gran escala.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Arquitectura Cliente Servidor,Modelo de diseño de sistemas donde las tareas se dividen entre proveedores de recursos o servicios (servidores) y solicitantes de servicios (clientes).,Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
FPGA,Dispositivo semiconductor programable que puede ser reconfigurado después de su fabricación para adaptarse a una amplia variedad de tareas.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
GPU,Unidad de Procesamiento Gráfico: Diseñada para acelerar la creación de imágenes en un marco destinado a la salida en una pantalla.,Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
Sistemas Embebidos,"Sistemas informáticos diseñados para realizar funciones dedicadas o funciones específicas, en lugar de ser multipropósito.",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Arquitectura Harvard,"Modelo computacional que utiliza memorias separadas para instrucciones y datos, permitiendo accesos simultáneos.",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
SoC,Sistema en un Chip: Integración de todos los componentes de una computadora o sistema electrónico en un único chip integrado.,Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
SIMD,"Una única Instrucción, Múltiples Datos: Procesadores que aplican la misma operación a múltiples puntos de datos simultáneamente.",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
MIMD,"Múltiples Instrucciones, Múltiples Datos: Arquitectura paralela donde múltiples procesadores operan de manera independiente y pueden ejecutar diferentes instrucciones.",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(2005). Organización y Arquitectura de Computadores 7a edición. Madrid. Pearson‐Prentice‐Hall. (Recomendada por UDG)] "
Microarquitectura,Diseño de un conjunto de instrucciones y la forma en que se implementan en términos de circuitos y tecnología de fabricación.,Arquitecturas Avanzadas y Paralelismo,[Paterson D. & Hennessy J.( s. f. ). Organización y diseño de computadores. La interfaz hardware/software. USA. Mc. Graw Hill. (Recomendada por UDG)] 
Virtualización,"Creación de versiones virtuales de un recurso o dispositivo, como servidores virtuales, redes o dispositivos de almacenamiento.",Arquitecturas Avanzadas y Paralelismo,"[Stalling, W.(s. f.). Computer Organization and Architecture 10th edition. (Recomendada por UDG)] "
